study_ID,long_cite,bibtex_cite,year,expt_num,author_disciplines,AUTHOR_DISCIPLINE_1,AUTHOR_DISCIPLINE_2,AUTHOR_DISCIPLINE_3,study_type,psychological_target_outcome,PSY_TARGET_OUTCOME_CODE,psychological_measured_outcome,application_scenario,APPL_SCENARIOS_CODE,exp_type,number_of_sessions,NUMB_SESSIONS_CODE,N,study_design,notes_design,target_population,age_range,mean_age,gender,NB_CODE,FEMALE_CODE,MALE_CODE,sex_vs_gender,language,country,COUNTRY_CODE,notes_population,robot_model_1,robot_model_2,robot_model_3,robot_model_4,robot_model_5,robot_interactivity,observing_interacting,robot_operation,other_technologies,affect_behavior_generation_capabilities,generation_autonomy_level,affect_perception_capabilities,perception_autonomy_level,technological,design,ethical,affective,others (emp-study),inclusion_of_clinical_practice,theories_grounded,notes_others,notes_theories_grounded_implementation,data_collection_method,evaluation_method,notes_methods,computation_model_approaches,design_stakeholder_involvement,design_involved_stakeholders,design_method,ethical_user_safety,ethical_societal,ethical_implication_discussed,notes,ethical_external,ethical_internal,eligibility_decision,notes_elegibility_decision
P529,"Moosaei, M., Das, S. K., Popa, D. O., & Riek, L. D. (2017, March). Using facially expressive robots to calibrate clinical pain perception. In Proceedings of the 2017 ACM/IEEE International Conference on Human-Robot Interaction (pp. 32-41).","@inproceedings{moosaei2017using,
  title={Using facially expressive robots to calibrate clinical pain perception},
  author={Moosaei, Maryam and Das, Sumit K and Popa, Dan O and Riek, Laurel D},
  booktitle={Proceedings of the 2017 ACM/IEEE International Conference on Human-Robot Interaction},
  pages={32--41},
  year={2017}
}",2017,1,"CS, engineering",CS,ENG,,QUANT,pain,other,pain,clinical,HEALTH,LAB,1,SINGLE,"102 (51 clinicians, 51 laypersons)",within-subject,,adults with medical problems,19-64,33.6,39% male (clinicians); 54% male (laypersons),0,"31,23","20,28",sex,English,US,North America,,Philip K. Dick (PKD),Philip K. Dick (PKD) Avatar,N/A,N/A,N/A,video,observing,N/A,N/A,emotional expression,A,N/A,N/A,0,1,0,1,,N/A,N/A,,N/A,QUESTIONNAIRES,,,STATISTICAL,user-centered,mix of clinicians and general population,N/A,N/A,bias,1,,0,1,Y,
P530,"Hammer, S., Kirchner, K., André, E., & Lugrin, B. (2017, March). Touch or talk? Comparing social robots and tablet pcs for an elderly assistant recommender system. In Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction (pp. 129-130).","@inproceedings{hammer2017touch,
  title={Touch or talk? Comparing social robots and tablet pcs for an elderly assistant recommender system},
  author={Hammer, Stephan and Kirchner, Kim and Andr{\'e}, Elisabeth and Lugrin, Birgit},
  booktitle={Proceedings of the Companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction},
  pages={129--130},
  year={2017}
}",2017,1,"human centered multimedia, human computer interaction",CS,,,QUANT,wellbeing,well-being,wellbeing,home,TECHNICAL,N.R.,1,SINGLE,24,between-subject,,older adults,53-83,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,German,Germany,Western Europe,,Reeti,N/A,N/A,N/A,N/A,physical,interacting,N.R.,tablet,N.R.,N.R.,N.R.,N.R.,0,1,0,0,,N/A,N/A,,N/A,QUESTIONNAIRES,,,STATISTICAL,user-centered,seniors (target population),interaction,N/A,N/A,0,,0,N.R.,Y,
P532,"Edwards, A., Omilion-Hodges, L., & Edwards, C. (2017, March). How do patients in a medical interview perceive a robot versus human physician?. In Proceedings of the companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction (pp. 109-110).","@inproceedings{edwards2017patients,
  title={How do patients in a medical interview perceive a robot versus human physician?},
  author={Edwards, Autumn and Omilion-Hodges, Leah and Edwards, Chad},
  booktitle={Proceedings of the companion of the 2017 ACM/IEEE International Conference on Human-Robot Interaction},
  pages={109--110},
  year={2017}
}",2017,,"communication, social robotics",CS,COMM,,QUANT,"credibility, affect",multiple targets,"credibility, affect",clinical,OTHER,LAB,1,SINGLE,86,between-subject,,general,18-45,21.76,"28M, 58F",0,58,28,sex,English,US,North America,,NAO,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,N.R.,N/A,N.R.,N/A,0,1,0,1,,1,1,,social presence heuristic,QUESTIONNAIRES,,,STATISTICAL,students,convenience sample,N/A,N/A,N/A,0,,0,N.R.,Y,
P535,"Chu, M. T., Khosla, R., Khaksar, S. M. S., & Nguyen, K. (2017). Service innovation through social robot engagement to improve dementia care quality. Assistive Technology, 29(1), 8-18.","@article{chu2017service,
  title={Service innovation through social robot engagement to improve dementia care quality},
  author={Chu, Mei-Tai and Khosla, Rajiv and Khaksar, Seyed Mohammad Sadegh and Nguyen, Khanh},
  journal={Assistive Technology},
  volume={29},
  number={1},
  pages={8--18},
  year={2017},
  publisher={Taylor \& Francis}
}",2017,1,"management and marketing; computers, communication, and social innovation",BSN,CS,,QUANT,"wellbeing, positive affect",multiple targets,"wellbeing, positive affect",clinical,MENTAL,residential care,3,<=10,139,descriptive statistics,,dementia,65-90,N.R.,"95M, 44F",0,44,95,sex,English,Australia,Oceania,,Sophie and Jack,N/A,N/A,N/A,N/A,physical,interacting,A,N/A,emotional expression,A,emotion recognition,A,0,1,0,1,,1,1,,diversion therapy,OBSERVATIONS,,,STATISTICAL,user-centered,older adults with dementia (target population),interaction,N/A,N/A,0,,0,1,Y,
P549,"Zubrycki, Igor, and Grzegorz Granosik. ""Understanding therapists’ needs and attitudes towards robotic support. The roboterapia project."" International Journal of Social Robotics 8 (2016): 553-563.","@article{zubrycki2016understanding,
  title={Understanding therapists’ needs and attitudes towards robotic support. The roboterapia project},
  author={Zubrycki, Igor and Granosik, Grzegorz},
  journal={International Journal of Social Robotics},
  volume={8},
  pages={553--563},
  year={2016},
  publisher={Springer}
}",2016,1,Institute of Automatic Control,ENG,,,MULTI (MIXED),N/A,N/A,N/A,support therapist during child therapy,THER,THERAPY,1,SINGLE,"n = 12 pairs (therapist-child), n = 7 (focus group of therapists)",single session,therapists of autistic children,therapists,N.R. ,N.R.,N.R.,N.R.,N.R.,N.R.,SEX,N.R.,Poland,Eastern Europe ,,N/A,N/A,N/A,N/A,N/A,none,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,,1,0,,"therapists contributed to the design, so not sure",MIXED,focus group,"observations, focus group",N/A,PD,"therapists, technology and art students","observations, focus group",N/A,N/A,0,,0,0,Y,
P549,"Zubrycki, Igor, and Grzegorz Granosik. ""Understanding therapists’ needs and attitudes towards robotic support. The roboterapia project."" International Journal of Social Robotics 8 (2016): 553-563.","@article{zubrycki2016understanding,
  title={Understanding therapists’ needs and attitudes towards robotic support. The roboterapia project},
  author={Zubrycki, Igor and Granosik, Grzegorz},
  journal={International Journal of Social Robotics},
  volume={8},
  pages={553--563},
  year={2016},
  publisher={Springer}
}",2016,2,Institute of Automatic Control,ENG,,,QUANT,N/A,N/A,N/A,support therapist during child therapy,THER,THERAPY,1,SINGLE,n = 21,single session,therapists of autistic children,therapists,"50, 25",N.R.,F16 M5,0,16,5,SEX,N.R.,Poland,Eastern Europe ,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,,1,0,,"therapists contributed to the design, so not sure",QUESTIONNAIRES,surveys,,N/A,user-centred,therapists,N/A,N/A,N/A,0,,0,0,Y,
P549,"Zubrycki, Igor, and Grzegorz Granosik. ""Understanding therapists’ needs and attitudes towards robotic support. The roboterapia project."" International Journal of Social Robotics 8 (2016): 553-563.","@article{zubrycki2016understanding,
  title={Understanding therapists’ needs and attitudes towards robotic support. The roboterapia project},
  author={Zubrycki, Igor and Granosik, Grzegorz},
  journal={International Journal of Social Robotics},
  volume={8},
  pages={553--563},
  year={2016},
  publisher={Springer}
}",2016,3,Institute of Automatic Control,ENG,,,MULTI (MIXED),therapist emotional support,multiple targets,N/A,support therapist during child therapy,THER,THERAPY,1,SINGLE,n = 7,single session,therapists of autistic children,therapists,N.R. ,N.R.,N.R.,N.R.,N.R.,N.R.,SEX,N.R.,Poland,Eastern Europe ,,ONO,N/A,N/A,N/A,N/A,physical,interacting,WoZ,therapist headset,emotional expression (face),WoZ ,emotion recognition,WoZ ,0,1,0,1,,1,0,,"therapists contributed to the design, so not sure",MIXED,observations,observations and therapist feedback,N/A,user-centred,therapists,N/A,minimise risk and distraction to child,N/A,0,,1,0,Y,
P550,"Cañamero, L., & Lewis, M. (2016). Making new “New AI” friends: designing a social robot for diabetic children from an embodied AI perspective. International Journal of Social Robotics, 8(4), 523-537.","@article{canamero2016making,
  title={Making new “New AI” friends: designing a social robot for diabetic children from an embodied AI perspective},
  author={Ca{\~n}amero, Lola and Lewis, Matthew},
  journal={International Journal of Social Robotics},
  volume={8},
  number={4},
  pages={523--537},
  year={2016},
  publisher={Springer}
}",2016,1,"Embodied Emotion, Cognition and (Inter-)Action Lab, School of Computer Science",CS,,,MULTI (MIXED),"mastery experiences, self-efficacy",multiple targets,N/A,"child helps robot with its ""robot diabetes""",HEALTH,LAB,1,SINGLE,17,single session,,diabetes,"12,7",N.R.,N.R.,N.R.,N.R.,N.R.,N/A,N.R.,Italy,Southern Europe,,NAO,N/A,N/A,N/A,N/A,physical,interacting,SA,"bluetooth ""glucometer"" device for Nao","emotional expression (voice, sounds)",A,N/A,N/A,1,1,0,1,,0,0,,consulting medical staff,OBSERVATIONS,observations,,COGNITIVE ARCHITECTURE,user-centred,medical staff,dicussion,N/A,NA,0,,N/A,N/A,Y,Seems weird that there's no mention of ethics... 
P552,"Huijnen, C. A., Lexis, M. A., & de Witte, L. P. (2016). Matching robot KASPAR to autism spectrum disorder (ASD) therapy and educational goals. International Journal of Social Robotics, 8, 445-455.","@article{huijnen2016matching,
  title={Matching robot KASPAR to autism spectrum disorder (ASD) therapy and educational goals},
  author={Huijnen, Claire AGJ and Lexis, Monique AS and de Witte, Luc P},
  journal={International Journal of Social Robotics},
  volume={8},
  pages={445--455},
  year={2016},
  publisher={Springer}
}",2016,1,Research Centre Technology in Care,CS,,,MULTI (MIXED),N/A,N/A,N/A,autistic children therapy,THER,N/A,3,<=10,54,N/A,"(design session 1, design session 2, questionnaire)",therapists,N/A,N/A,N/A,0,0,0,N/A,N.R.,The Netherlands,Western Europe,,KASPAR,N/A,N/A,N/A,N/A,physical,interacting,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,,1,1,,autism therapy,N/A,"surveys, focus groups",,N/A,ASD professionals,ASD professionals,"group discussion, survey",N/A,N/A,0,,0,0,Y,"Again, no mention of ethics"
P553,"Reppou, S. E., Tsardoulias, E. G., Kintsakis, A. M., Symeonidis, A. L., Mitkas, P. A., Psomopoulos, F. E., ... & Gkiokas, A. (2016). Rapp: a robotic-oriented ecosystem for delivering smart user empowering applications for older people. International Journal of Social Robotics, 8, 539-552.","@article{reppou2016rapp,
  title={Rapp: a robotic-oriented ecosystem for delivering smart user empowering applications for older people},
  author={Reppou, Sofia E and Tsardoulias, Emmanouil G and Kintsakis, Athanassios M and Symeonidis, Andreas L and Mitkas, Pericles A and Psomopoulos, Fotis E and Karagiannis, George T and Zielinski, Cezary and Prunet, Vincent and Merlet, Jean-Pierre and others},
  journal={International Journal of Social Robotics},
  volume={8},
  pages={539--552},
  year={2016},
  publisher={Springer}
}",2016,1, Diagnostic Center; Information Technologies Institute,CS,MED,,QUANT,elderly exercises (cognitive and physical),multiple targets,N/A,elderly care,HEALTH,COMMUNITY CENTER,N.R.,N.R.,N.R.,N/A,pilot study with different user groups,elderly,N.R.,N.R. ,N.R. ,N.R.,N.R.,N.R.,N.R.,N.R.,Greece,Southern Europe,target population over 65 years old,NAO,ANG-MED,N/A,N/A,N/A,physical,interacting,N.R.,N.R.,N.R.,N/A,N.R. ,N/A,0,1,0,0,1,1,0,exploratory study,not sure whether cognitive exercises are based on some existing exercises?,MIXED,"observations, discussions",observations and questionnaires,COGNITIVE ARCHITECTURE,N.R. ,N.R. ,N.R.,N.R. ,N.R. ,0,,0,0,Y,This paper is super unclear on what they already did and what they plan to do – the quality overall leaves something to be desired. The authors describe a preliminary studies and mix up robot capabilities that they are developing and have already implemented. It's difficult to get an accurate view of what was actually done. E.g. they describe emotion recognition capabilities but give no details as to how this was implemented – which leaves me to assume that this was not actually implemented yet
P554,"Ienca, M., Jotterand, F., Vică, C., & Elger, B. (2016). Social and assistive robotics in dementia care: ethical recommendations for research and practice. International Journal of Social Robotics, 8, 565-573.","@article{ienca2016social,
  title={Social and assistive robotics in dementia care: ethical recommendations for research and practice},
  author={Ienca, Marcello and Jotterand, Fabrice and Vic{\u{a}}, Constantin and Elger, Bernice},
  journal={International Journal of Social Robotics},
  volume={8},
  pages={565--573},
  year={2016},
  publisher={Springer}
}",2016,0,Institute for Biomedical Ethics,ENG,,,THEOR,N/A,N/A,N/A,older adults,HEALTH,N/A,N/A,N/A,N/A,N/A,,elderly,N/A,N/A,N/A,0,0,0,N/A,N.R.,Switzerland,Western Europe,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,0,,N/A,N/A,,N/A,REVIEW,N/A,"""landscape delineation"" (non systematic literature review)",N/A,N/A,N/A,N/A,"physical, mental, etc.","society, legal, equity, justice, fariness",1,Discussion of several ethical dimensions.,0,0,Y,I've noted ethical external and internal as negative since these seem more like empirical study variables. However this paper contributes an extensive ethical review of different aspects of robots with older adults.
P558,"Ullrich, D., Diefenbach, S., & Butz, A. (2016, May). Murphy Miserable Robot: A Companion to Support Children's Well-being in Emotionally Difficult Situations. In Proceedings of the 2016 CHI conference extended abstracts on human factors in computing systems (pp. 3234-3240).","@inproceedings{ullrich2016murphy,
  title={Murphy Miserable Robot: A Companion to Support Children's Well-being in Emotionally Difficult Situations},
  author={Ullrich, Daniel and Diefenbach, Sarah and Butz, Andreas},
  booktitle={Proceedings of the 2016 CHI conference extended abstracts on human factors in computing systems},
  pages={3234--3240},
  year={2016}
}",2016,1,"Media Informatic Groups, Department of Psychology",PSY,,,CONCEPT,N/A,N/A,N/A,companion for kids visiting the doctor,MENTAL,N/A,1,SINGLE,5,single session,,mixed-children,"5, 12",N.R.,"M4, F1",0,1,4,N.R.,german,Germany,Western Europe,,NAO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,,0,1,,"""emotional similarity hypothesis""",FOCUS GROUP,qualitative evaluation,no specific methodology presented,N/A,user-centred,children who go to the doctor,"concepting, demo with Nao, acted video of HRI",N.R.,N.R.,0,,0,0,Y,
P561,"Johnson, D. O., Cuijpers, R. H., Pollmann, K., & van de Ven, A. A. (2016). Exploring the entertainment value of playing games with a humanoid robot. International Journal of Social Robotics, 8, 247-269.","@article{johnson2016exploring,
  title={Exploring the entertainment value of playing games with a humanoid robot},
  author={Johnson, David O and Cuijpers, Raymond H and Pollmann, Kathrin and van de Ven, Antoine AJ},
  journal={International Journal of Social Robotics},
  volume={8},
  pages={247--269},
  year={2016},
  publisher={Springer}
}",2016,1,Human Technology Interaction,CS,,,QUANT,N/A,N/A,N/A,elderly enjoyment,PLAY,LAB,1,SINGLE,19,within-subject,,elderly,"49, 69",65,"M11, F8",0,8,11,N.R.,english,Netherlands,Western Europe,,NAO,N/A,N/A,N/A,N/A,physical,interacting,SA,N/A,"emotional expression through movement, lights",A,N/A,N/A,0,1,0,1,,0,0,,,QUESTIONNAIRES,descriptive statistics,,ALGORITHM,N.R.,N.R.,N.R.,N.R.,N.R.,0,,0,0,Y,"Framing it in regards to elderly enjoyment, but the mean age is 63 and they don't really make observations about that context, rather only the game and people's enjoyment. They are not measuring or targeting cognitive function"
P562,"Lane, G. W., Noronha, D., Rivera, A., Craig, K., Yee, C., Mills, B., & Villanueva, E. (2016). Effectiveness of a social robot,“Paro,” in a VA long-term care setting. Psychological services, 13(3), 292.","@article{lane2016effectiveness,
  title={Effectiveness of a social robot,“Paro,” in a VA long-term care setting.},
  author={Lane, Geoffrey W and Noronha, Delilah and Rivera, Alexandra and Craig, Kathy and Yee, Christina and Mills, Brent and Villanueva, Eimee},
  journal={Psychological services},
  volume={13},
  number={3},
  pages={292},
  year={2016},
  publisher={Educational Publishing Foundation}
}",2016,1,Veterans Affairs Palo Alto Healthcare System,MED,,,QUAL,mood and behaviour problems,multiple targets,N.R.,"healthcare, elderly",HEALTH,CARE-CENTER,1,SINGLE,23,observation,,dementia,"58, 97",80,M23,0,0,23,SEX,english,USA,North America,,PARO,N/A,N/A,N/A,N/A,physical,interacting,N.R.,N/A,N.R.,N.R.,N.R.,N.R.,0,1,0,0,1,1,1,exploratory study,animals in therapy have been shown to be useful,OBSERVATIONS,behaviour annotation,,N/A,N/A,N/A,N/A,physical (they say the robot is safer than a real animal),N.R.,0,,0,1,Y,
P568,"Khosla, R., Nguyen, K., & Chu, M. T. (2016). Socially assistive robot enabled personalised care for people with dementia in Australian private homes.","@article{khosla2016socially,
  title={Socially assistive robot enabled personalised care for people with dementia in Australian private homes},
  author={Khosla, Rajiv and Nguyen, Khanh and Chu, Mei-Tai},
  year={2016}
}",2016,1,"Research Centre for Computers, Communication and Social Innovation",CS,,,MULTI (MIXED),dementia,eldercare,N.R.,"dementia, people's homes",HEALTH,HOME,2044,>30,5,observation,,dementia,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,english,Australia,Oceania,,Betty,N/A,N/A,N/A,N/A,physical,interacting,N.R.,tablet,N.R.,N.R.,"emotion recognition, no details provided",N.R.,0,1,0,0,,0,0,,"""personhood oriented service design"", but nothing clinical",MIXED,"interaction data, observations from videos, post-interaction questionnaire",,,user-centred,N.R.,N.R.,N.R.,N.R.,0,,0,0,Y,
P570,"Welge, J., & Hassenzahl, M. (2016). Better than human: about the psychological superpowers of robots. In Social Robotics: 8th International Conference, ICSR 2016, Kansas City, MO, USA, November 1-3, 2016 Proceedings 8 (pp. 993-1002). Springer International Publishing.","@inproceedings{welge2016better,
  title={Better than human: about the psychological superpowers of robots},
  author={Welge, Julika and Hassenzahl, Marc},
  booktitle={Social Robotics: 8th International Conference, ICSR 2016, Kansas City, MO, USA, November 1-3, 2016 Proceedings 8},
  pages={993--1002},
  year={2016},
  organization={Springer}
}",2016,1,"Folkwang University of the Arts, Experience and Interaction, Essen, Germany",ART,,,THEOR,N/A,N/A,N/A,N/A,SOCIAL,LIVING LAB,N/A,N/A,9,focus group,"They mention another study they did which they based this analysis on, but they don't report that analysis here.",elderly,"70, 95",N. R.,F9,0,9,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,1,1,0,0,empirical study,"they present six ""superpowers"" of robots in affective interaction, however they only tested with elderly adults so it's a broad claim",N/A,"""selective interpretation of conversations"" --> not very rigorous here",not a rigorous qualitative analysis of results. ,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,
P573,"Díaz-Boladeras, M., Angulo, C., Domènech, M., Albo-Canals, J., Serrallonga, N., Raya, C., & Barco, A. (2016). Assessing pediatrics patients’ psychological states from biomedical signals in a cloud of social robots. In XIV Mediterranean Conference on Medical and Biological Engineering and Computing 2016: MEDICON 2016, March 31st-April 2nd 2016, Paphos, Cyprus (pp. 1185-1190). Springer International Publishing.","@inproceedings{diaz2016assessing,
  title={Assessing pediatrics patients’ psychological states from biomedical signals in a cloud of social robots},
  author={D{\'\i}az-Boladeras, Marta and Angulo, Cecilio and Dom{\`e}nech, Miquel and Albo-Canals, Jordi and Serrallonga, N{\'u}ria and Raya, Crist{\'o}bal and Barco, Alex},
  booktitle={XIV Mediterranean Conference on Medical and Biological Engineering and Computing 2016: MEDICON 2016, March 31st-April 2nd 2016, Paphos, Cyprus},
  pages={1185--1190},
  year={2016},
  organization={Springer}
}",2016,1," Research Centre for Dependency Care and Autonomous Living, Universitat Politecnica de Catalunya, Vilanova i la Geltr ` u, Spain,  Knowledge Engineering Research Group, Universitat Politecnica de Catalunya, Barcelona, Spain, Barcelona Science and Technology Studies Group, Universitat Autonoma de Barcelona, Bellaterra, Spain, La Salle BCN, Ramon Llull University, Barcelona, Spain, DIVER “Child Life” Program, Hospital Sant Joan de Deu, Esplugues de Llobregat, Spain ",CS,,,MULTI (MIXED),N/A,N/A,N/A,clinical,PSYCH,SCHOOL,N.R.,N.R.,71,mixed-method,,children,"2, 13",N.R.,"M26, F45",0,45,26,SEX,spanish,Spain,Southern Europe,,PLEO,N/A,N/A,N/A,N/A,physical,interacting,N.R.,N/A,N.R.,N.R.,N.R.,N.R.,0,1,0,0,1,0,0,exploratory study,,MIXED,"pilot study: interviews, focus groups, observations",,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,0,,0,0,Y,
P573,"Díaz-Boladeras, M., Angulo, C., Domènech, M., Albo-Canals, J., Serrallonga, N., Raya, C., & Barco, A. (2016). Assessing pediatrics patients’ psychological states from biomedical signals in a cloud of social robots. In XIV Mediterranean Conference on Medical and Biological Engineering and Computing 2016: MEDICON 2016, March 31st-April 2nd 2016, Paphos, Cyprus (pp. 1185-1190). Springer International Publishing.","@inproceedings{diaz2016assessing,
  title={Assessing pediatrics patients’ psychological states from biomedical signals in a cloud of social robots},
  author={D{\'\i}az-Boladeras, Marta and Angulo, Cecilio and Dom{\`e}nech, Miquel and Albo-Canals, Jordi and Serrallonga, N{\'u}ria and Raya, Crist{\'o}bal and Barco, Alex},
  booktitle={XIV Mediterranean Conference on Medical and Biological Engineering and Computing 2016: MEDICON 2016, March 31st-April 2nd 2016, Paphos, Cyprus},
  pages={1185--1190},
  year={2016},
  organization={Springer}
}",2016,2," Research Centre for Dependency Care and Autonomous Living, Universitat Politecnica de Catalunya, Vilanova i la Geltr ` u, Spain,  Knowledge Engineering Research Group, Universitat Politecnica de Catalunya, Barcelona, Spain, Barcelona Science and Technology Studies Group, Universitat Autonoma de Barcelona, Bellaterra, Spain, La Salle BCN, Ramon Llull University, Barcelona, Spain, DIVER “Child Life” Program, Hospital Sant Joan de Deu, Esplugues de Llobregat, Spain ",CS,,,QUAL,N/A,N/A,N/A,clinical,PSYCH,CLINIC,N.R.,N.R.,N.R.,observation,deploying the robots (5 pleos) in the clinic and observing,children,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,spanish,Spain,Southern Europe,,PLEO,PLEO,PLEO,PLEO,PLEO,physical,interacting,N.R.,graphical interface for seeing robot internal state,N.R.,N.R.,N.R.,N.R.,0,1,0,0,1,1,0,exploratory study,,OBSERVATIONS,they don't present observations in a methodological evaluation,,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,0,they mention that these are open concerns but don't address them,0,0,Y,
P573,"Díaz-Boladeras, M., Angulo, C., Domènech, M., Albo-Canals, J., Serrallonga, N., Raya, C., & Barco, A. (2016). Assessing pediatrics patients’ psychological states from biomedical signals in a cloud of social robots. In XIV Mediterranean Conference on Medical and Biological Engineering and Computing 2016: MEDICON 2016, March 31st-April 2nd 2016, Paphos, Cyprus (pp. 1185-1190). Springer International Publishing.","@inproceedings{diaz2016assessing,
  title={Assessing pediatrics patients’ psychological states from biomedical signals in a cloud of social robots},
  author={D{\'\i}az-Boladeras, Marta and Angulo, Cecilio and Dom{\`e}nech, Miquel and Albo-Canals, Jordi and Serrallonga, N{\'u}ria and Raya, Crist{\'o}bal and Barco, Alex},
  booktitle={XIV Mediterranean Conference on Medical and Biological Engineering and Computing 2016: MEDICON 2016, March 31st-April 2nd 2016, Paphos, Cyprus},
  pages={1185--1190},
  year={2016},
  organization={Springer}
}",2016,3," Research Centre for Dependency Care and Autonomous Living, Universitat Politecnica de Catalunya, Vilanova i la Geltr ` u, Spain,  Knowledge Engineering Research Group, Universitat Politecnica de Catalunya, Barcelona, Spain, Barcelona Science and Technology Studies Group, Universitat Autonoma de Barcelona, Bellaterra, Spain, La Salle BCN, Ramon Llull University, Barcelona, Spain, DIVER “Child Life” Program, Hospital Sant Joan de Deu, Esplugues de Llobregat, Spain ",CS,,,QUAL,N/A,N/A,N/A,clinical,PSYCH,CLINIC,N.R.,N.R.,N.R.,observation,observing how volunteers personnel use pet robots in assistance to children,children,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,spanish,Spain,Southern Europe,,PLEO,PLEO,PLEO,PLEO,PLEO,physical,interacting,N.R.,graphical interface for seeing robot internal state,N.R.,N.R.,N.R.,N.R.,0,1,0,0,1,1,0,exploratory study,,OBSERVATIONS,they don't present observations in a methodological evaluation,,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,0,they mention that these are open concerns but don't address them,0,0,Y,
P574,"Riek, L. D. (2016). Robotics technology in mental health care. In Artificial intelligence in behavioral and mental health care (pp. 185-203). Academic Press.","@incollection{riek2016robotics,
  title={Robotics technology in mental health care},
  author={Riek, Laurel D},
  booktitle={Artificial intelligence in behavioral and mental health care},
  pages={185--203},
  year={2016},
  publisher={Elsevier}
}",2016,0,"Department of Computer Science and Engineering, University of Notre Dame",CS,,,THEOR,N/A,N/A,N/A,clinical,HEALTH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,1,0,1,N/A,N/A,theoretical ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"human dignity, design","legal, social",1,extensive ethics principles,N/A,N/A,Y,
P578,"Jenkins, S., & Draper, H. (2015). Care, monitoring, and companionship: Views on care robots from older people and their carers. International Journal of Social Robotics, 7, 673-683.","@article{jenkins2015care,
  title={Care, monitoring, and companionship: Views on care robots from older people and their carers},
  author={Jenkins, Simon and Draper, Heather},
  journal={International Journal of Social Robotics},
  volume={7},
  pages={673--683},
  year={2015},
  publisher={Springer}
}",2015,1,"University of Birmingham, UK",N.R.,,,QUAL,N/A,N/A,N/A,elderly  ,HEALTH,FOCUS GROUP,21 (different groups),<=30,123,focus group,N/A,mixed-elderly,"62, 95",N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,English,UK,Northern Europe,"focus groups of older people, their formal caregivers, and informal caregivers",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,0,,1,0,,,FOCUS GROUP,"directed analysis, framework analysis",,N/A,N/A,N/A,N/A,"interests of older people vs clinicians, monitoring, rompanionship, limitations","robot's role, monitoring",1,extensive ethics analysis,N/A,N/A,Y,
P581,"Huber, S., McAuliff, J., Monson, K., O'Brien, T., Valdez, J., & LaViers, A. (2015, April). Exploration of robotic system design in improving the patient experience in physical therapy sessions at the UVA Children's Hospital. In 2015 Systems and Information Engineering Design Symposium (pp. 230-235). IEEE.","@inproceedings{huber2015exploration,
  title={Exploration of robotic system design in improving the patient experience in physical therapy sessions at the UVA Children's Hospital},
  author={Huber, Sarah and McAuliff, Justin and Monson, Kristofer and O'Brien, Talia and Valdez, Jose and LaViers, Amy},
  booktitle={2015 Systems and Information Engineering Design Symposium},
  pages={230--235},
  year={2015},
  organization={IEEE}
}",2015,1,University of Virginia,N.R.,,,SYSTEM,N/A,N/A,N/A,children's physical therapy,THER,HOSPITAL,N.R.,N.R.,N/A,mixed-method,"observations, then implement system based on observations",children,N/A,N/A,N/A,0,0,0,N/A,English,USA,North America,,NAO,N/A,N/A,N/A,N/A,prototype,N/A,A,N.R.,N.R.,N/A,N.R.,N/A,1,1,0,0,,1,1,,based on movement observation with Laban framework,OBSERVATIONS,N/A,,STATE MACHINE,user-centred,children in hospital,observation,appropriate observation through review board training,N.R.,0,,1,0,Y,
